epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0457,1.30447,4.002,1.66517,0.00051,0.12184,0.00064,0.00014,3.29712,inf,33.2469,0.0793,0.0023,0.0023
2,67.1957,1.30168,3.14615,1.62336,0,0,0,0,3.44194,inf,89.2601,0.0576069,0.00460694,0.00460694
3,101.561,1.33917,2.87762,1.63555,5e-05,0.00481,4e-05,0,4.20147,inf,43.635,0.0358188,0.00681884,0.00681884
4,127.683,1.36129,2.7858,1.62709,0.00057,0.07204,0.00047,0.00015,3.31122,inf,18.1852,0.0139357,0.0089357,0.0089357
1,32.3259,1.30447,4.002,1.66517,0.00051,0.12184,0.00064,0.00014,3.29712,inf,33.2469,0.0793,0.0023,0.0023
2,66.191,1.30168,3.14615,1.62336,0,0,0,0,3.44194,inf,89.2601,0.0576069,0.00460694,0.00460694
3,99.6132,1.33917,2.87762,1.63555,5e-05,0.00481,4e-05,0,4.20147,inf,43.635,0.0358188,0.00681884,0.00681884
4,125.329,1.36129,2.7858,1.62709,0.00057,0.07204,0.00047,0.00015,3.31122,inf,18.1852,0.0139357,0.0089357,0.0089357
5,149.703,1.34748,2.6744,1.61864,0.38534,0.19817,0.00188,0.00068,2.95418,inf,10.0847,0.009208,0.009208,0.009208
6,174.17,1.26299,2.49411,1.54387,0.27131,0.01282,0.00129,0.00064,3.06395,inf,5.3096,0.00901,0.00901,0.00901
7,199.922,1.25304,2.47711,1.5429,0.82447,0.08494,0.04179,0.02377,2.04521,16.2399,2.93671,0.008812,0.008812,0.008812
8,225.689,1.18357,2.30489,1.47707,0.59614,0.13326,0.12495,0.06367,1.62812,6.04008,2.20075,0.008614,0.008614,0.008614
9,257.007,1.15626,2.27995,1.46078,0.58038,0.02991,0.00355,0.00086,3.494,6.35294,7.19461,0.008416,0.008416,0.008416
10,281.901,1.11052,2.15017,1.42203,0.48198,0.25983,0.24514,0.13266,1.82868,4.72847,2.64026,0.008218,0.008218,0.008218
11,307.853,1.07042,2.05499,1.38994,0.29615,0.37732,0.30833,0.21644,1.44801,2.57451,2.02365,0.00802,0.00802,0.00802
12,334.38,1.03676,1.98982,1.35387,0.32743,0.37619,0.35226,0.24695,1.37181,2.57005,1.96877,0.007822,0.007822,0.007822
13,360.642,1.02263,1.92349,1.34239,0.78064,0.17817,0.23259,0.16289,1.30215,3.62283,1.97682,0.007624,0.007624,0.007624
14,386.286,1.03623,1.90759,1.35947,0.26174,0.25488,0.18814,0.11994,1.667,4.84866,2.41367,0.007426,0.007426,0.007426
15,411.577,1.03974,1.86887,1.35471,0.46761,0.70356,0.6784,0.50002,1.13572,1.70205,1.5742,0.007228,0.007228,0.007228
16,437.421,0.99468,1.78067,1.32846,0.56282,0.45527,0.5336,0.35796,1.5662,2.2825,2.12339,0.00703,0.00703,0.00703
17,462.397,0.97209,1.72848,1.30686,0.58185,0.61007,0.68988,0.51618,1.01945,1.56209,1.54634,0.006832,0.006832,0.006832
18,488.092,0.96524,1.70043,1.30387,0.62415,0.64782,0.72942,0.5567,1.06497,1.42084,1.44507,0.006634,0.006634,0.006634
19,513.099,0.93833,1.62016,1.27407,0.73238,0.60071,0.78053,0.59012,0.97912,1.1349,1.40692,0.006436,0.006436,0.006436
20,538.778,0.93864,1.61713,1.28099,0.61198,0.69775,0.7894,0.56711,1.24908,1.27912,1.61828,0.006238,0.006238,0.006238
21,564.041,0.94872,1.60932,1.29606,0.70541,0.78816,0.83772,0.59771,1.23802,1.17706,1.6172,0.00604,0.00604,0.00604
22,589.921,0.90538,1.54052,1.25976,0.54487,0.58313,0.62385,0.45889,1.18984,1.72021,1.6426,0.005842,0.005842,0.005842
23,615.155,0.91588,1.55584,1.2671,0.67099,0.67988,0.81043,0.6035,1.1549,1.11446,1.53144,0.005644,0.005644,0.005644
24,641.081,0.87375,1.47277,1.23382,0.64382,0.69605,0.80231,0.62265,1.0541,1.0615,1.43575,0.005446,0.005446,0.005446
25,666.043,0.87431,1.46179,1.23235,0.57262,0.71196,0.77642,0.59002,1.05054,1.28043,1.47223,0.005248,0.005248,0.005248
26,690.616,0.87551,1.46112,1.23261,0.69999,0.7727,0.84098,0.67461,0.85547,0.92308,1.2805,0.00505,0.00505,0.00505
27,715.239,0.85566,1.41024,1.22828,0.69404,0.70196,0.83687,0.65048,0.97442,1.26995,1.38026,0.004852,0.004852,0.004852
28,740.207,0.83356,1.36618,1.22266,0.76349,0.79432,0.86743,0.69629,0.92394,0.94661,1.28375,0.004654,0.004654,0.004654
29,765.603,0.83599,1.35,1.21559,0.67214,0.80654,0.85685,0.67533,0.91033,0.9485,1.31456,0.004456,0.004456,0.004456
30,790.6,0.83357,1.31686,1.21967,0.82209,0.8037,0.88545,0.70624,0.92131,0.85568,1.30042,0.004258,0.004258,0.004258
31,816.132,0.79385,1.24501,1.19085,0.70974,0.73573,0.8394,0.6681,0.88452,0.93595,1.27301,0.00406,0.00406,0.00406
32,841.636,0.80895,1.28696,1.19811,0.55971,0.76055,0.74696,0.58094,0.98591,1.171,1.42647,0.003862,0.003862,0.003862
33,866.115,0.79649,1.21989,1.18643,0.70491,0.76313,0.83947,0.65214,0.96501,0.92331,1.3826,0.003664,0.003664,0.003664
34,890.877,0.80522,1.18498,1.17606,0.79772,0.77405,0.8688,0.72599,0.75659,0.78722,1.22142,0.003466,0.003466,0.003466
35,915.878,0.78837,1.19478,1.1824,0.80798,0.78476,0.89483,0.69393,0.98149,0.88629,1.35462,0.003268,0.003268,0.003268
36,941.097,0.78592,1.18141,1.18955,0.80813,0.77402,0.88185,0.6571,1.11516,0.87583,1.48466,0.00307,0.00307,0.00307
37,966.312,0.77773,1.14268,1.17674,0.91858,0.76042,0.90335,0.74317,0.79243,0.79402,1.21587,0.002872,0.002872,0.002872
38,991.591,0.74465,1.08938,1.15449,0.89019,0.82648,0.91608,0.75281,0.77639,0.71925,1.21996,0.002674,0.002674,0.002674
39,1015.86,0.76845,1.15012,1.17119,0.75573,0.81738,0.90517,0.72102,0.94129,0.84313,1.31022,0.002476,0.002476,0.002476
40,1041.15,0.73529,1.11514,1.14911,0.9063,0.84688,0.92754,0.74294,0.8715,0.65087,1.28642,0.002278,0.002278,0.002278
41,1070.59,0.58025,0.58852,1.11222,0.82479,0.69106,0.84548,0.61323,1.20993,1.07072,1.60654,0.00208,0.00208,0.00208
42,1093.3,0.56891,0.54702,1.10472,0.84246,0.7927,0.89361,0.73647,0.79387,0.81132,1.19522,0.001882,0.001882,0.001882
43,1117.41,0.54128,0.51058,1.07301,0.8544,0.8936,0.92542,0.73728,0.93225,0.66513,1.32843,0.001684,0.001684,0.001684
